
Gene_ID	error	StartBad	StopBad	frameshifts	splicesites	length	product	errorStill	StartStillBad	StopStillBad	frameshiftsStill	JoinExons	PossiblePseudo	CorrectionLog	
Rv0212c	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN NADR	0	0	0	0	0	0	 // Corrected Start	
Rv0214	1	1	0	0	0	0	PROBABLE FATTY-ACID-CoA LIGASE FADD4	0	0	0	0	0	0	 // Corrected Start	
Rv0215c	1	1	0	0	0	0	PROBABLE ACYL-CoA DEHYDROGENASE FADE3"	0	0	0	0	0	0	 // Corrected Start	
Rv0216	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0217c	1	1	0	0	0	0	POSSIBLE ESTERASE LIPW"	0	0	0	0	0	0	 // Corrected Start	
Rv0221	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0224c	1	1	0	0	0	0	POSSIBLE METHYLTRANSFERASE (METHYLASE)"	0	0	0	0	0	0	 // Corrected Start	
Rv0226c	1	1	0	0	0	0	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0229c	1	1	0	0	0	0	POSSIBLE CONSERVED MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0230c	1	1	0	0	0	0	PROBABLE PHOSPHOTRIESTERASE PHP (PARATHION	0	0	0	0	0	0	 // Corrected Start	
Rv0236c	1	1	0	0	0	0	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0240	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0241c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0242c	1	1	0	0	0	0	PROBABLE 3-OXOACYL-[ACYL-CARRIER PROTEIN]	0	0	0	0	0	0	 // Corrected Start	
Rv0243	1	1	0	0	0	0	PROBABLE ACETYL-CoA ACYLTRANSFERASE FADA2	0	0	0	0	0	0	 // Corrected Start	
Rv0244c	1	1	0	0	0	0	PROBABLE ACYL-CoA DEHYDROGENASE FADE5"	0	0	0	0	0	0	 // Corrected Start	
Rv0245	1	1	0	0	0	0	POSSIBLE OXIDOREDUCTASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0246	1	1	0	0	0	0	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0250c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0253	1	1	0	0	0	0	PROBABLE NITRITE REDUCTASE [NAD(P)H] SMALL	1	1	0	0	0	0	0	
Rv0254c	1	1	0	0	0	0	PROBABLE BIFUNCTIONAL COBALAMIN BIOSYNTHESIS	1	1	0	0	0	0	0	
Rv0262c	1	1	0	0	0	0	AMINOGLYCOSIDE 2'-N-ACETYLTRANSFERASE AAC	0	0	0	0	0	0	 // Corrected Start	
Rv0265c	1	1	0	0	0	0	PROBABLE PERIPLASMIC IRON-TRANSPORT LIPOPROTEIN"	1	1	0	0	0	0	0	
Rv0266c	1	1	0	0	0	0	PROBABLE 5-OXOPROLINASE OPLA (5-OXO-L-PROLINASE)	0	0	0	0	0	0	 // Corrected Start	
Rv0268c	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0272c	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0273c	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0278c	1	0	0	16	0	0	PE-PGRS FAMILY PROTEIN"	0	0	0	0	0	0	0	
Rv0281	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0284	1	1	0	0	0	0	POSSIBLE CONSERVED MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0296c	1	1	0	0	0	0	PROBABLE SULFATASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0297	1	1	0	0	0	0	PE-PGRS FAMILY PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0299	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0301	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0302	1	1	0	0	0	0	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0305c	2	0	1	0	0	1	PPE FAMILY PROTEIN"	0	0	0	0	0	0	 // Corrected Stop	
Rv0310c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0313	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0317c	1	1	0	0	0	0	POSSIBLE GLYCEROPHOSPHORYL DIESTER	0	0	0	0	0	0	 // Corrected Start	
Rv0318c	1	1	0	0	0	0	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0320	1	1	0	0	0	0	POSSIBLE CONSERVED EXPORTED PROTEIN"	1	1	0	0	0	0	0	
Rv0321	1	1	0	0	0	0	PROBABLE DEOXYCYTIDINE TRIPHOSPHATE DEAMINASE	1	1	0	0	0	0	0	
Rv0322	1	1	0	0	0	0	PROBABLE UDP-GLUCOSE 6-DEHYDROGENASE UDGA	0	0	0	0	0	0	 // Corrected Start	
Rv0325	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0326	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0328	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	1	1	0	0	0	0	0	
Rv0332	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0335c	1	1	0	0	0	0	PE FAMILY PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0337c	1	1	0	0	0	0	PROBABLE ASPARTATE AMINOTRANSFERASE ASPC	0	0	0	0	0	0	 // Corrected Start	
Rv0338c	1	1	0	0	0	0	PROBABLE IRON-SULFUR-BINDING REDUCTASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0339c	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0340	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0343	1	1	0	0	0	0	ISONIAZID INDUCTIBLE GENE PROTEIN INIC"	0	0	0	0	0	0	 // Corrected Start	
Rv0344c	1	1	0	0	0	0	PROBABLE LIPOPROTEIN LPQJ"	0	0	0	0	0	0	 // Corrected Start	
Rv0345	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0347	1	1	0	0	0	0	PROBABLE CONSERVED MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0349	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0351	1	1	0	0	0	0	PROBABLE GRPE PROTEIN (HSP-70 COFACTOR)"	0	0	0	0	0	0	 // Corrected Start	
Rv0354c	3	1	1	0	0	1	PPE FAMILY PROTEIN"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Stop	
Rv0356c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0359	1	1	0	0	0	0	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0360c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0362	1	1	0	0	0	0	POSSIBLE Mg2+ TRANSPORT TRANSMEMBRANE PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0366c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0367c	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0370c	1	1	0	0	0	0	POSSIBLE OXIDOREDUCTASE"	1	1	0	0	0	0	0	
Rv0375c	1	1	0	0	0	0	PROBABLE CARBON MONOXYDE DEHYDROGENASE (MEDIUM	0	0	0	0	0	0	 // Corrected Start	
Rv0378	1	1	0	0	0	0	CONSERVED HYPOTHETICAL GLYCINE RICH PROTEIN"	1	1	0	0	0	0	0	
Rv0380c	1	1	0	0	0	0	POSSIBLE RNA METHYLTRANSFERASE (RNA METHYLASE)"	0	0	0	0	0	0	 // Corrected Start	
Rv0381c	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0382c	1	1	0	0	0	0	PROBABLE OROTATE PHOSPHORIBOSYLTRANSFERASE PYRE	0	0	0	0	0	0	 // Corrected Start	
Rv0384c	1	1	0	0	0	0	PROBABLE ENDOPEPTIDASE ATP BINDING PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0385	1	1	0	0	0	0	PROBABLE MONOOXYGENASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0387c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0388c	2	0	1	0	0	1	PPE FAMILY PROTEIN"	0	0	0	0	0	0	 // Corrected Stop	
Rv0389	1	1	0	0	0	0	PROBABLE PHOSPHORIBOSYLGLYCINAMIDE	0	0	0	0	0	0	 // Corrected Start	
Rv0390	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0396	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0397	1	1	0	0	0	0	CONSERVED 13E12 REPEAT FAMILY PROTEIN"	1	1	0	0	0	0	0	
Rv0402c	1	1	0	0	0	0	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT	0	0	0	0	0	0	 // Corrected Start	
Rv0407	1	1	0	0	0	0	PROBABLE F420-DEPENDENT GLUCOSE-6-PHOSPHATE	0	0	0	0	0	0	 // Corrected Start	
Rv0408	1	1	0	0	0	0	PROBABLE PHOSPHATE ACETYLTRANSFERASE PTA	0	0	0	0	0	0	 // Corrected Start	
Rv0412c	1	1	0	0	0	0	POSSIBLE CONSERVED MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0413	1	1	0	0	0	0	POSSIBLE MUTATOR PROTEIN MUTT3	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
Rv0414c	1	1	0	0	0	0	PROBABLE THIAMINE-PHOSPHATE PYROPHOSPHORYLASE	1	1	0	0	0	0	0	
Rv0417	1	1	0	0	0	0	PROBABLE THIAMIN BIOSYNTHESIS PROTEIN THIG	0	0	0	0	0	0	 // Corrected Start	
Rv0420c	1	1	0	0	0	0	POSSIBLE TRANSMEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0431	1	1	0	0	0	0	PUTATIVE TUBERCULIN RELATED PEPTIDE"	0	0	0	0	0	0	 // Corrected Start	
Rv0433	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0435c	1	1	0	0	0	0	PUTATIVE CONSERVED ATPASE"	0	0	0	0	0	0	 // Corrected Start	
Rv0437c	1	1	0	0	0	0	POSSIBLE PHOSPHATIDYLSERINE DECARBOXYLASE PSD	0	0	0	0	0	0	 // Corrected Start	
Rv0438c	1	1	0	0	0	0	PROBABLE MOLYBDOPTERIN BIOSYNTHESIS PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0441c	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	 // Modell shifted 2 base(s)	
Rv0442c	1	1	0	0	0	0	PPE FAMILY PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0446c	2	1	0	1	0	0	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0448c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0449c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0450c	1	1	0	0	0	0	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT	0	0	0	0	0	0	 // Corrected Start	
Rv0451c	1	1	0	0	0	0	PROBABLE CONSERVED MEMBRANE PROTEIN MMPS4"	0	0	0	0	0	0	 // Corrected Start	
Rv0452	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0454	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0461	1	1	0	0	0	0	PROBABLE TRANSMEMBRANE PROTEIN"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
Rv0462	1	1	0	0	0	0	DIHYDROLIPOAMIDE DEHYDROGENASE LPD (LIPOAMIDE	0	0	0	0	0	0	 // Corrected Start	
Rv0465c	1	1	0	0	0	0	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0466	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0468	1	1	0	0	0	0	PROBABLE 3-HYDROXYBUTYRYL-CoA DEHYDROGENASE	0	0	0	0	0	0	 // Corrected Start	
Rv0470A	1	1	0	0	0	0	HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0472c	1	1	0	0	0	0	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0473	1	1	0	0	0	0	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0478	1	1	0	0	0	0	PROBABLE DEOXYRIBOSE-PHOSPHATE ALDOLASE DEOC	0	0	0	0	0	0	 // Corrected Start	
Rv0479c	1	1	0	0	0	0	PROBABLE CONSERVED MEMBRANE PROTEIN"	1	1	0	0	0	0	0	
Rv0483	1	1	0	0	0	0	PROBABLE CONSERVED LIPOPROTEIN LPRQ"	1	1	0	0	0	0	0	
Rv0485	1	1	0	0	0	0	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0487	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0490	1	1	0	0	0	0	PUTATIVE TWO COMPONENT SENSOR HISTIDINE KINASE	0	0	0	0	0	0	 // Corrected Start	
Rv0493c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0494	1	1	0	0	0	0	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN	0	0	0	0	0	0	 // Corrected Start	
Rv0495c	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	1	1	0	0	0	0	0	
Rv0496	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0498	1	1	0	0	0	0	CONSERVED HYPOTHETICAL PROTEIN"	0	0	0	0	0	0	 // Corrected Start	
Rv0501	1	1	0	0	0	0	POSSIBLE UDP-GLUCOSE 4-EPIMERASE GALE2	0	0	0	0	0	0	 // Corrected Start	
Rv0506	1	1	0	0	0	0	PROBABLE CONSERVED MEMBRANE PROTEIN MMPS2"	0	0	0	0	0	0	 // Corrected Start	
Rv0509	1	1	0	0	0	0	PROBABLE GLUTAMYL-TRNA REDUCTASE HEMA (GLUTR)"	0	0	0	0	0	0	 // Corrected Start	
Rv0510	1	1	0	0	0	0	PROBABLE PORPHOBILINOGEN DEAMINASE HEMC (PBG)	0	0	0	0	0	0	 // Corrected Start	
Rv0514	1	1	0	0	0	0	POSSIBLE TRANSMEMBRANE PROTEIN"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
Rv0515	1	0	0	15	0	0	CONSERVED 13E12 REPEAT FAMILY PROTEIN"	0	0	0	0	0	0	0	
Rv0518	3	1	1	1	0	0	POSSIBLE EXPORTED PROTEIN"	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
Rv0519c	2	1	1	0	0	0	POSSIBLE CONSERVED MEMBRANE PROTEIN"	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
