id,start,end,locus_tag
381,457589,458554,Rv0377
382,458805,459026,Rv0378
383,459145,459360,Rv0379
384,459987,459436,Rv0380c
385,460991,460083,Rv0381c
386,461548,461009,Rv0382c
387,462483,461629,Rv0383c
388,465170,462624,Rv0384c
389,465303,466475,Rv0385
390,466579,469836,Rv0386
391,470574,469840,Rv0387c
392,471171,470627,Rv0388c
393,471505,472764,Rv0389
394,472761,473183,Rv0390
395,473180,474400,Rv0391
396,475809,474397,Rv0392c
397,475951,477276,Rv0393
398,478011,477292,Rv0394c
399,478110,478514,Rv0395
400,478520,478912,Rv0396
401,478986,479354,Rv0397
402,480490,479849,Rv0398c
403,481726,480497,Rv0399c
404,482923,481736,Rv0400c
405,482959,483330,Rv0401
406,486401,483525,Rv0402c
407,486826,486398,Rv0403c
408,487147,488904,Rv0404
409,488901,493109,Rv0405
410,493875,493057,Rv0406c
411,493953,494963,Rv0407
412,494956,497028,Rv0408
413,497021,498178,Rv0409
414,500484,498232,Rv0410c
415,501470,500484,Rv0411c
416,502789,501470,Rv0412c
417,502883,503536,Rv0413
418,504188,503520,Rv0414c
419,504318,505340,Rv0415
420,505337,505543,Rv0416
421,505536,506294,Rv0417
422,506666,508168,Rv0418
423,508256,509752,Rv0419
424,510141,509731,Rv0420c
425,510931,510302,Rv0421c
426,511725,510928,Rv0422c
427,513395,511752,Rv0423c
428,513822,513547,Rv0424c
429,518491,513872,Rv0425c
430,518986,518543,Rv0426c
431,520062,519187,Rv0427c
432,520973,520065,Rv0428c
433,521566,520973,Rv0429c
434,521903,522211,Rv0430
435,522243,522737,Rv0431
436,522770,523492,Rv0432
437,523494,524624,Rv0433
438,524684,525337,Rv0434
439,527703,525517,Rv0435c
440,528560,527700,Rv0436c
441,529252,528557,Rv0437c
442,530530,529313,Rv0438c
443,531484,530549,Rv0439c
444,531778,533400,Rv0440
445,533893,533466,Rv0441c
446,535383,533920,Rv0442c
447,535565,536080,Rv0443
448,536958,536260,Rv0444c
449,537565,537002,Rv0445c
450,538384,537614,Rv0446c
451,539676,538393,Rv0447c
452,540338,539673,Rv0448c
453,541717,540398,Rv0449c
454,544660,541757,Rv0450c
455,545079,544657,Rv0451c
456,545311,546021,Rv0452
457,546343,547899,Rv0453
458,548004,548354,Rv0454
459,548990,548544,Rv0455c
460,549972,549058,Rv0456c
461,550526,550245,Rv0456A
462,552776,550755,Rv0457c
463,552844,554367,Rv0458
464,554367,554858,Rv0459
465,554918,555157,Rv0460
466,555195,555719,Rv0461
467,555783,557177,Rv0462
468,557185,557478,Rv0463
469,558054,557482,Rv0464c
470,559475,558051,Rv0465c
471,559627,560421,Rv0466
472,560696,561982,Rv0467
473,562064,562924,Rv0468
474,563057,563917,Rv0469
475,564880,564017,Rv0470c
476,565463,565023,Rv0470A
477,565882,565394,Rv0471c
478,566596,565892,Rv0472c
479,566733,568103,Rv0473
480,568190,568612,Rv0474
481,568966,569565,Rv0475
482,569677,569940,Rv0476
483,569945,570391,Rv0477
484,570391,571065,Rv0478
485,572136,571090,Rv0479c
486,572975,572133,Rv0480c
487,573681,573157,Rv0481c
488,573708,574817,Rv0482
489,574879,576234,Rv0483
490,576970,576215,Rv0484c
491,577153,578469,Rv0485
492,578517,579959,Rv0486
493,579956,580507,Rv0487
494,580833,581438,Rv0488
495,581595,582344,Rv0489
496,582518,583750,Rv0490
497,583954,584637,Rv0491
498,586523,584634,Rv0492c
499,586849,586520,Rv0492A
500,587835,586846,Rv0493c
501,587840,588568,Rv0494
502,589459,588569,Rv0495c
503,589539,590525,Rv0496
504,590522,591454,Rv0497
505,591470,592312,Rv0498
506,592328,593203,Rv0499
507,593228,594115,Rv0500
508,594256,594492,Rv0500A
509,594620,594721,Rv0500B
510,594799,595929,Rv0501
511,595936,597012,Rv0502
512,597924,597016,Rv0503c
513,598447,597947,Rv0504c
514,599730,598609,Rv0505c
515,599904,600347,Rv0506
516,600344,603250,Rv0507
517,603243,603536,Rv0508
518,603586,604992,Rv0509
519,605002,605931,Rv0510
520,605964,607661,Rv0511
521,607747,608736,Rv0512
522,608749,609297,Rv0513
523,609294,609593,Rv0514
524,609696,611206,Rv0515
525,611679,611203,Rv0516c
526,611890,613200,Rv0517
527,613416,614111,Rv0518
528,615302,614400,Rv0519c
529,615483,615833,Rv0520
530,615826,616131,Rv0521
531,616266,617570,Rv0522
532,617949,617554,Rv0523c
533,618063,619451,Rv0524
534,619451,620059,Rv0525
535,620074,620724,Rv0526
536,620721,621500,Rv0527
537,621533,623122,Rv0528
538,623119,624093,Rv0529
539,624135,625352,Rv0530
540,625557,625874,Rv0531
541,626021,627805,Rv0532
542,628708,627701,Rv0533c
543,629668,628790,Rv0534c
544,629685,630479,Rv0535
545,630476,631516,Rv0536
546,632959,631526,Rv0537c
547,633268,634914,Rv0538
548,634971,635603,Rv0539
549,635600,636262,Rv0540
550,637632,636283,Rv0541c
551,638732,637644,Rv0542c
552,639103,638801,Rv0543c
553,639441,639163,Rv0544c
554,640691,639438,Rv0545c
555,641197,640811,Rv0546c
556,642144,641260,Rv0547c
557,643184,642240,Rv0548c
558,643869,643456,Rv0549c
559,644132,643866,Rv0550c
560,646039,644324,Rv0551c
561,646117,647721,Rv0552
562,647718,648698,Rv0553
563,648695,649483,Rv0554
564,649526,651190,Rv0555
565,651187,651702,Rv0556
566,651764,652900,Rv0557
567,652917,653621,Rv0558
568,653973,653635,Rv0559c
569,654732,654007,Rv0560c
570,655983,654757,Rv0561c
571,655999,657006,Rv0562
572,657107,657967,Rv0563
573,659177,658152,Rv0564c
574,660698,659238,Rv0565c
575,661267,660776,Rv0566c
576,661337,661417,Rv0567
577,662678,664096,Rv0568
578,664231,664497,Rv0569
579,664523,666601,Rv0570
580,668046,666715,Rv0571c
581,668611,668270,Rv0572c
582,670470,669079,Rv0573c
583,671622,670480,Rv0574c
584,672973,671807,Rv0575c
585,673076,674380,Rv0576
586,674394,675179,Rv0577
587,679144,675224,Rv0578c
588,679466,680224,Rv0579
589,680844,680353,Rv0580c
590,680938,681153,Rv0581
591,681150,681557,Rv0582
592,682303,681617,Rv0583c
593,682457,685090,Rv0584
594,687500,685113,Rv0585c
595,687638,688360,Rv0586
596,688357,689154,Rv0587
597,689156,690043,Rv0588
598,690049,691263,Rv0589
599,691260,692087,Rv0590
600,692036,692290,Rv0590A
601,692287,693732,Rv0591
602,693729,695255,Rv0592
603,695252,696460,Rv0593
604,696465,698015,Rv0594
605,698459,698067,Rv0595c
606,698713,698456,Rv0596c
607,700131,698896,Rv0597c
608,700795,700382,Rv0598c
609,701028,700792,Rv0599c
610,701638,701132,Rv0600c
611,702222,701752,Rv0601c
612,703027,702266,Rv0602c
613,703084,703395,Rv0603
614,703467,704417,Rv0604
615,704634,705242,Rv0605
616,705244,705987,Rv0606
617,706041,706427,Rv0607
618,706472,706717,Rv0608
619,706714,707115,Rv0609
620,707058,707285,Rv0609A
621,709137,707980,Rv0610c
622,709572,709189,Rv0611c
623,709552,710157,Rv0612
624,712743,710176,Rv0613c
625,712584,713576,Rv0614
626,713573,713815,Rv0615
627,714078,713812,Rv0616c
628,714234,714635,Rv0617
629,714764,715459,Rv0618
630,715402,715947,Rv0619
631,715944,717035,Rv0620
632,717430,718494,Rv0621
633,718598,719545,Rv0622
634,719638,719892,Rv0623
635,719892,720287,Rv0624
636,721121,720381,Rv0625c
637,721253,721513,Rv0626
638,721510,721917,Rv0627
639,723140,721989,Rv0628c
640,724960,723233,Rv0629c
641,728241,724957,Rv0630c
642,731534,728241,Rv0631c
643,732506,731811,Rv0632c
644,733394,732555,Rv0633c
645,734261,733548,Rv0634c
646,734341,734592,Rv0634A
647,734722,734794,Rv0634B
648,735158,735634,Rv0635
649,735621,736049,Rv0636
650,736053,736553,Rv0637
651,736752,736824,Rv0638
652,737482,738198,Rv0639
653,738250,738678,Rv0640
654,738745,739452,Rv0641
655,740431,739526,Rv0642c
656,741377,740496,Rv0643c
657,742388,741525,Rv0644c
658,743415,742555,Rv0645c
659,744367,743462,Rv0646c
660,745845,744379,Rv0647c
661,745947,749594,Rv0648
662,749591,750265,Rv0649
663,750265,751173,Rv0650
664,751504,752040,Rv0651
665,752077,752469,Rv0652
666,753157,752462,Rv0653c
667,753228,754733,Rv0654
668,754745,756357,Rv0655
669,757128,756745,Rv0656c
670,757378,757223,Rv0657c
671,758170,757454,Rv0658c
672,758754,758446,Rv0659c
673,758986,758741,Rv0660c
674,759533,759096,Rv0661c
675,759898,759530,Rv0662c
676,759898,762261,Rv0663
677,762293,762565,Rv0664
678,762562,762900,Rv0665
679,762897,763070,Rv0666
680,763568,767086,Rv0667
681,767131,771081,Rv0668
682,773358,771445,Rv0669c
683,773553,774311,Rv0670
684,774343,775185,Rv0671
685,775245,776873,Rv0672
686,776884,777822,Rv0673
687,777825,778547,Rv0674
688,778544,779335,Rv0675
689,782241,779347,Rv0676c
690,782666,782238,Rv0677c
691,782751,783248,Rv0678
692,783801,783304,Rv0679c
693,784177,783803,Rv0680c
694,784482,785072,Rv0681
695,785321,785695,Rv0682
696,785695,786165,Rv0683
697,786246,788351,Rv0684
698,788582,789772,Rv0685
699,789910,790707,Rv0686
700,790860,791687,Rv0687
701,791701,792921,Rv0688
702,793172,792918,Rv0689c
703,794834,793785,Rv0690c
704,795427,794831,Rv0691c
705,795592,795921,Rv0692
706,795918,797093,Rv0693
707,797096,798286,Rv0694
708,798476,799231,Rv0695
709,799280,800692,Rv0696
710,800694,802133,Rv0697
711,802594,803205,Rv0698
712,803390,803611,Rv0699
713,804248,804553,Rv0700
714,804570,805223,Rv0701
715,805223,805894,Rv0702
716,805894,806196,Rv0703
717,806289,807131,Rv0704
718,807172,807453,Rv0705
719,807450,808043,Rv0706
720,808043,808867,Rv0707
721,808871,809287,Rv0708
722,809287,809520,Rv0709
723,809517,809927,Rv0710
724,810096,812459,Rv0711
725,812507,813406,Rv0712
726,813707,814648,Rv0713
727,815134,815502,Rv0714
728,815503,815820,Rv0715
729,815820,816383,Rv0716
730,816388,816573,Rv0717
731,816737,817135,Rv0718
732,817159,817698,Rv0719
733,817701,818069,Rv0720
734,818089,818859,Rv0721
735,818862,819059,Rv0722
736,819059,819499,Rv0723
737,819532,821403,Rv0724
738,821735,821400,Rv0724A
739,822313,821408,Rv0725c
740,823509,822406,Rv0726c
741,824368,823712,Rv0727c
742,825345,824365,Rv0728c
743,825376,826722,Rv0729
744,826735,827463,Rv0730
745,828508,827552,Rv0731c
746,828669,829994,Rv0732
747,829991,830536,Rv0733
748,830539,831339,Rv0734
749,831412,831945,Rv0735
750,832009,832761,Rv0736
751,833076,833573,Rv0737
752,833931,834479,Rv0738
753,834724,835530,Rv0739
754,835645,836172,Rv0740
755,836403,836717,Rv0741
756,836850,837377,Rv0742
757,838312,837755,Rv0743c
758,838815,838309,Rv0744c
759,839023,839550,Rv0745
760,839570,841921,Rv0746
761,842320,844725,Rv0747
762,844816,845073,Rv0748
763,845097,845525,Rv0749
764,845743,845606,Rv0749A
765,845902,846147,Rv0750
766,847100,846216,Rv0751c
767,848283,847111,Rv0752c
768,849822,848290,Rv0753c
769,850028,851782,Rv0754
770,853909,851972,Rv0755c
771,854396,854211,Rv0755A
772,854582,854511,Rv0756c
773,855477,856220,Rv0757
774,856265,857722,Rv0758
775,858026,857694,Rv0759c
776,858554,858135,Rv0760c
777,859694,858567,Rv0761c
778,860338,859793,Rv0762c
779,860547,860341,Rv0763c
780,861905,860550,Rv0764c
781,862732,861905,Rv0765c
782,863940,862732,Rv0766c
783,864578,863937,Rv0767c
784,864780,866249,Rv0768
785,866280,867026,Rv0769
786,867124,868011,Rv0770
787,868008,868442,Rv0771
788,868454,869722,Rv0772
789,871257,869719,Rv0773c
790,872219,871308,Rv0774c
791,872275,872898,Rv0775
792,873631,872852,Rv0776c
793,873876,875294,Rv0777
794,875299,876543,Rv0778
795,877160,876540,Rv0779c
796,877211,878104,Rv0780
797,878101,878813,Rv0781
798,878600,880260,Rv0782
799,882310,880688,Rv0783c
800,882508,883194,Rv0784
801,883210,884910,Rv0785
802,885334,884945,Rv0786c
803,885329,886288,Rv0787
804,886394,886633,Rv0787A
805,886630,887304,Rv0788
806,887920,887321,Rv0789c
807,888670,887942,Rv0790c
808,889710,888667,Rv0791c
809,890516,889707,Rv0792c
810,890589,890894,Rv0793
811,892506,891007,Rv0794c
812,891583,891909,Rv0795
813,891906,892844,Rv0796
814,892899,893993,Rv0797
815,894780,893983,Rv0798c
816,895784,894777,Rv0799c
817,895829,897130,Rv0800
818,897142,897489,Rv0801
819,898139,897483,Rv0802c
820,898331,900595,Rv0803
821,900592,901221,Rv0804
822,901342,902298,Rv0805
823,903841,902243,Rv0806c
824,904146,904535,Rv0807
825,904622,906205,Rv0808
826,906236,907330,Rv0809
827,907598,907416,Rv0810c
828,908851,907745,Rv0811c
829,908934,909803,Rv0812
830,910529,909849,Rv0813c
831,910994,910692,Rv0814c
832,911829,910996,Rv0815c
833,912544,912122,Rv0816c
834,913353,912541,Rv0817c
835,913483,914250,Rv0818
836,914247,915194,Rv0819
837,915237,916013,Rv0820
838,916710,916069,Rv0821c
839,918822,916768,Rv0822c
840,920157,918988,Rv0823c
841,921261,920245,Rv0824c
842,922064,921423,Rv0825c
843,922145,923200,Rv0826
844,923644,923252,Rv0827c
845,924124,923702,Rv0828c
846,924086,924376,Rv0829
847,924481,925386,Rv0830
848,926220,925405,Rv0831c
849,926386,926314,Rv0832
850,927872,930076,Rv0833
851,932942,930303,Rv0834c
852,933410,934054,Rv0835
853,935389,934736,Rv0836c
854,936488,935460,Rv0837c
855,937177,937947,Rv0838
856,938034,938846,Rv0839
857,939774,938914,Rv0840c
858,940050,940292,Rv0841
859,940569,941861,Rv0842
860,941845,942849,Rv0843
861,943563,942913,Rv0844c
862,943647,944924,Rv0845
863,948009,946495,Rv0846c
864,948158,948550,Rv0847
865,948753,949871,Rv0848
866,949871,951130,Rv0849
867,951127,951459,Rv0850
868,952283,951456,Rv0851c
869,952374,953210,Rv0852
870,954933,953251,Rv0853c
871,954998,955441,Rv0854
872,955447,956526,Rv0855
873,956640,957044,Rv0856
874,957072,957545,Rv0857
875,958735,957542,Rv0858c
876,958892,960103,Rv0859
877,960108,962270,Rv0860
878,963966,962338,Rv0861c
879,966427,964157,Rv0862c
880,966414,966695,Rv0863
881,966705,967208,Rv0864
882,967205,967687,Rv0865
883,967684,968109,Rv0866
884,969350,968127,Rv0867c
885,970076,969798,Rv0868c
886,971162,970080,Rv0869c
887,971548,971159,Rv0870c
888,971713,972120,Rv0871
889,974068,972239,Rv0872c
890,974329,976281,Rv0873
891,977530,976370,Rv0874c
892,978118,977630,Rv0875c
893,979761,978115,Rv0876c
894,979899,980687,Rv0877
895,982028,980696,Rv0878c
896,982581,982306,Rv0879c
897,982759,983190,Rv0880
898,983187,984053,Rv0881
899,984050,984334,Rv0882
900,985092,984331,Rv0883c
901,986379,985249,Rv0884c
902,986587,987609,Rv0885
903,987628,989355,Rv0886
904,989796,989338,Rv0887c
905,991058,992530,Rv0888
906,993686,992565,Rv0889c
907,996421,993773,Rv0890c
908,997280,996423,Rv0891c
909,997678,999165,Rv0892
910,1000120,999143,Rv0893c
911,1000349,1001530,Rv0894
912,1001607,1003124,Rv0895
913,1003297,1004592,Rv0896
914,1006240,1004633,Rv0897c
915,1006529,1006266,Rv0898c
916,1006637,1007617,Rv0899
917,1007630,1007782,Rv0900
918,1007782,1008309,Rv0901
919,1009666,1008326,Rv0902c
920,1010387,1009677,Rv0903c
921,1012005,1010518,Rv0904c
922,1012032,1012763,Rv0905
923,1012769,1013887,Rv0906
924,1013961,1015560,Rv0907
925,1015557,1017950,Rv0908
926,1018507,1018686,Rv0909
927,1018692,1019126,Rv0910
928,1019224,1019997,Rv0911
929,1020062,1020511,Rv0912
930,1022551,1021043,Rv0913c
931,1023791,1022553,Rv0914c
932,1025155,1023884,Rv0915c
933,1025469,1025170,Rv0916c
934,1025913,1027694,Rv0917
935,1028037,1028513,Rv0918
936,1028510,1029010,Rv0919
937,1029219,1029147,Rv0920c
938,1030930,1031511,Rv0921
939,1031511,1033163,Rv0922
940,1034403,1033339,Rv0923c
941,1035690,1034404,Rv0924c
942,1036459,1035722,Rv0925c
943,1037612,1036536,Rv0926c
944,1038457,1037666,Rv0927c
945,1038729,1039841,Rv0928
946,1039854,1040828,Rv0929
947,1040825,1041751,Rv0930
948,1043740,1041746,Rv0931c
949,1044874,1043762,Rv0932c
950,1045090,1045920,Rv0933
951,1045941,1047065,Rv0934
952,1047125,1048141,Rv0935
953,1048143,1049048,Rv0936
954,1049846,1049025,Rv0937c
955,1049962,1052241,Rv0938
956,1052238,1054172,Rv0939
957,1055285,1054419,Rv0940c
958,1056143,1055370,Rv0941c
959,1056186,1056464,Rv0942
960,1057562,1056522,Rv0943c
961,1057591,1058067,Rv0944
962,1058073,1058834,Rv0945
